country,Count
"Switzerland, United Kingdom, United States",1
"Canada, United States, India, United Kingdom",1
"United States, Canada, Japan, Panama",1
"United Kingdom, Spain, Belgium",1
"Serbia, South Korea, Slovenia",1
"Denmark, United Kingdom, South Africa, Sweden, Belgium",1
"Germany, Canada, United States",1
"Ireland, Canada, United States, United Kingdom",1
"New Zealand, United Kingdom, Australia",1
"United Kingdom, Australia, Canada, United States",1
"Germany, United States, Italy",1
"United States, Venezuela",1
"United Kingdom, Canada, Japan",1
"United Kingdom, United States, Czech Republic",1
"United Kingdom, China, United States",1
"United Kingdom, Brazil, Germany",1
"United Kingdom, Namibia, South Africa, Zimbabwe, United States",1
"Australia, United Kingdom, Canada",1
"United Kingdom, New Zealand",1
"Ireland, United States, France",1
"Mexico, France, Colombia",1
"Poland, West Germany",1
"Canada, United States, Denmark",1
"Germany, United States, Sweden",1
"Canada, Spain",1
"United States, Cambodia",1
"Norway, United Kingdom, France, Ireland",1
"United Kingdom, Poland",1
"Israel, Sweden, Germany, Netherlands",1
"Brazil, India, China, United States",1
"Switzerland, France",1
"Italy, India",1
"United States, Botswana",1
"Chile, Argentina, France, Spain, United States",1
"United States, India, South Korea, China",1
"Denmark, Germany, Belgium, United Kingdom, France",1
"Denmark, Germany, Belgium, United Kingdom, France, Sweden",1
"Lebanon, United Arab Emirates",1
"China, United States, Canada",1
"Turkey, Azerbaijan",1
"Philippines, Singapore, Indonesia",1
"Germany, United States, Canada",1
"United Kingdom, Germany, Canada, United States",1
"United States, France, Canada, Lebanon, Qatar",1
"Netherlands, Belgium, United Kingdom, United States",1
"France, Belgium, China, United States",1
"United States, Chile, Israel",1
"United Kingdom, Norway, Denmark, Germany, Sweden",1
"Norway, Denmark, Sweden",1
"China, India, Nepal",1
"United Kingdom, South Korea",1
"Denmark, China",1
"United States, Greece, Brazil",1
"South Korea, France",1
"United States, Australia, Samoa, United Kingdom",1
"Argentina, Chile, Peru",1
"France, Switzerland, Spain, United States, United Arab Emirates",1
"Denmark, France, United States, Sweden",1
"China, Hong Kong, United States",1
Guatemala,1
"United States, Germany, Australia",1
"Australia, France, Ireland",1
"Australia, India",1
"United States, United Kingdom, Canada, Japan",1
"Sweden, United Kingdom, Finland",1
"Hong Kong, Taiwan",1
"United States, United Kingdom, Spain, South Korea",1
"Italy, South Africa, West Germany, Australia, United States",1
"Australia, Iraq",1
"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1
"United States, Germany, United Kingdom, Australia",1
"Italy, France, Switzerland",1
"Canada, France, United States",1
"Switzerland, United States",1
"Germany, United States, France",1
"Thailand, Canada, United States",1
"Ireland, Canada, United Kingdom, United States",1
"India, Canada",1
"United States, Uruguay",1
"Germany, France, United States, Canada, United Kingdom",1
"China, Morocco, Hong Kong",1
"Canada, United States, Germany",1
"United Kingdom, Thailand",1
"Venezuela, Colombia",1
"Colombia, United States",1
"France, Germany, Czech Republic, Belgium",1
"Switzerland, Vatican City, Italy, Germany, France",1
"Portugal, France, Poland, United States",1
"Chile, Spain, Argentina, Germany",1
"United States, Netherlands, Japan, France",1
"India, Switzerland",1
"United States, Morocco",1
"Singapore, Japan, France",1
"Canada, Mexico, Germany, South Africa",1
"United Kingdom, United States, Canada",1
West Germany,1
"United States, Israel, United Kingdom, Canada",1
"Spain, Italy, Argentina",1
"Netherlands, Germany, Italy, Canada",1
"Chile, Italy",1
"France, Brazil, Spain, Belgium",1
"Egypt, Algeria",1
"Canada, South Korea, United States",1
"Nigeria, United Kingdom",1
"United States, France, Canada",1
"United Arab Emirates, Jordan, Lebanon, Saudi Arabia",1
"United States, Mexico, Spain, Malta",1
"Saudi Arabia, United Arab Emirates",1
Zimbabwe,1
"United Kingdom, Germany, United Arab Emirates, New Zealand",1
"Romania, United States",1
"Canada, Nigeria",1
"Saudi Arabia, Netherlands, Germany, Jordan, United Arab Emirates, United States",1
"United Kingdom, Spain",1
"Spain, France, Canada, United States",1
"Switzerland, France, Belgium, United States",1
"Indonesia, United Kingdom",1
"United States, Philippines",1
"Germany, China, United Kingdom",1
"Australia, New Zealand, United States",1
"Hong Kong, Iceland, United States",1
"France, Australia, Germany",1
"United States, Belgium, Canada, France",1
"South Africa, Angola",1
"United States, United Kingdom, Canada, China",1
Belarus,1
"United States, Canada, United Kingdom",1
"Peru, Germany, Norway",1
Mozambique,1
"China, Spain, South Korea, United States",1
"France, Belgium, Luxembourg, Cambodia,",1
"United Kingdom, Australia",1
"Finland, France",1
"United Kingdom, Germany, United States, France",1
"India, United Kingdom, China, Canada, Japan, South Korea, United States",1
"United States, Norway, Canada",1
"Romania, France, Switzerland, Germany",1
"Switzerland, United Kingdom, Australia",1
"Romania, United Kingdom",1
"France, Malta, United States",1
Cyprus,1
"United Kingdom, France, Belgium, Ireland, United States",1
"Kenya, United States",1
"Brazil, United Kingdom",1
"France, South Korea, Japan, United States",1
"United States, India, France",1
"Taiwan, Malaysia",1
"Uruguay, Argentina, Germany, Spain",1
"United States, United Kingdom, France, Germany, Japan",1
"Spain, France, United States",1
"Belgium, United Kingdom",1
"United Kingdom, United States, Ireland",1
"Italy, United Kingdom, France",1
"Puerto Rico, United States, Colombia",1
"India, Nepal",1
"United States, Mexico, Colombia",1
"Turkey, India",1
"Italy, Turkey",1
"United Kingdom, United States, Japan",1
"France, Belgium, United States",1
"Uruguay, Argentina",1
"Taiwan, China",1
"United States, United Kingdom, Japan",1
"New Zealand, Australia, France, United States",1
"Italy, Brazil, Greece",1
"United Kingdom, France, Belgium, Canada, United States",1
"Netherlands, Germany, Denmark, United Kingdom",1
"Austria, Germany",1
"United Kingdom, China",1
"United States, France, Canada, Belgium",1
"United Kingdom, France, United States, Belgium, Luxembourg, China, Germany",1
"United States, Cambodia, Romania",1
"Russia, United States",1
"United States, India, United Kingdom",1
"India, United Kingdom, France, Qatar",1
"United Kingdom, Australia, France, United States",1
"Chile, Brazil",1
Luxembourg,1
"Spain, Belgium, United States",1
"United Kingdom, Australia, France",1
"United States, Italy, France, Japan",1
"Portugal, United States",1
"United States, Italy, Romania, United Kingdom",1
"United Kingdom, Spain, United States",1
"Hungary, United States",1
"Argentina, Venezuela",1
"Ireland, United Kingdom, France, Germany",1
"United Kingdom, South Africa, France",1
"Canada, Hungary, United States",1
"United States, Brazil, Japan, Spain, India",1
"Canada, Nigeria, United States",1
"France, United States, United Kingdom, Canada",1
"France, United Kingdom",1
"Canada, United States, Mexico",1
"Czech Republic, United Kingdom, United States",1
"Italy, United Kingdom",1
"United States, China, United Kingdom",1
"Ireland, Switzerland, United Kingdom, France, United States",1
Cameroon,1
"Lebanon, Palestine, Denmark, Qatar",1
"United States, Singapore",1
"Uruguay, Germany",1
"Egypt, Saudi Arabia",1
"United Kingdom, France, Poland, Germany, United States",1
"Canada, United States, Cayman Islands",1
"United Kingdom, Germany, France, United States",1
"United Kingdom, France, Germany, Spain",1
"France, Norway, Lebanon, Belgium",1
"Lebanon, United Arab Emirates, France, Switzerland, Germany",1
"France, Belgium, Italy",1
"Lebanon, United States, United Arab Emirates",1
"Lebanon, France",1
"France, Lebanon",1
"France, Lebanon, United Kingdom",1
"Sweden, Czech Republic, United Kingdom, Denmark, Netherlands",1
"Ireland, Luxembourg, Belgium",1
"United States, United Kingdom, India",1
"Indonesia, Netherlands",1
"Turkey, South Korea",1
Namibia,1
"United Kingdom, Kenya",1
", South Korea",1
"Canada, Belgium",1
"Spain, Thailand, United States",1
Senegal,1
"United Kingdom, Singapore",1
"France, Algeria",1
"United Kingdom, Finland, Germany, United States, Australia, Japan, France, Ireland",1
"Philippines, Canada, United Kingdom, United States",1
"Ireland, France, Iceland, United States, Mexico, Belgium, United Kingdom, Hong Kong",1
"United States, France, Serbia",1
"United States, Ireland, United Kingdom, India",1
"United States, Malta, France, United Kingdom",1
"United States, China, Colombia",1
"United States, China, Canada",1
"Canada, United States, Ireland",1
"Japan, Canada, United States",1
"Spain, France, Canada",1
"Denmark, Singapore, Canada, United States",1
"United States, France, Denmark",1
"Indonesia, South Korea, Singapore",1
"Spain, Germany, Denmark, United States",1
"South Korea, Czech Republic",1
"Norway, Sweden",1
"Hong Kong, Canada, United States",1
"Canada, Japan, United States",1
"United Kingdom, Canada, United States, Germany",1
"Italy, Switzerland, Albania, Poland",1
Cambodia,1
"Italy, United States, Argentina",1
"Kuwait, United States",1
"Saudi Arabia, Syria, Egypt, Lebanon, Kuwait",1
"United States, Canada, Indonesia, United Kingdom, China, Singapore",1
"Spain, Colombia",1
"United Kingdom, South Africa, Australia, United States",1
Bulgaria,1
"Argentina, Brazil, France, Poland, Germany, Denmark",1
"United Kingdom, Spain, United States, Germany",1
"France, Canada, United States, Spain",1
"Argentina, Italy",1
"Chile, Peru",1
"United States, Canada, Ireland",1
"United States, Brazil, South Korea, Mexico, Japan, Germany",1
"United Kingdom, West Germany",1
"Egypt, Denmark, Germany",1
"India, Australia",1
"United States,",1
"Belgium, United Kingdom, United States",1
"India, Germany, Austria",1
"South Africa, United States, Japan",1
"Colombia, Mexico",1
"China, Japan",1
"Argentina, France",1
"United States, Switzerland",1
"China, United States, United Kingdom",1
"France, Luxembourg, United States",1
"China, United States, Australia",1
"Philippines, Qatar",1
"Netherlands, Belgium, Germany, Jordan",1
"Norway, Germany, Sweden",1
"Australia, New Zealand",1
"United Kingdom, Italy, Israel, Peru, United States",1
"Argentina, Uruguay, Spain, France",1
"United Kingdom, France, United States, Belgium",1
"France, Canada, China, Cambodia",1
"United Kingdom, France, Belgium, United States",1
"Chile, France",1
"Netherlands, United States",1
"Ireland, United States, United Kingdom",1
"France, United Kingdom, India",1
"Czech Republic, Slovakia",1
"Singapore, France",1
"Spain, Switzerland",1
"United States, Australia, China",1
"South Africa, United States, Germany",1
"United States, Colombia, Mexico",1
"United States, Denmark",1
"South Korea, China",1
"Georgia, Germany, France",1
Georgia,1
"Soviet Union, India",1
"France, Netherlands, Singapore",1
"Canada, Germany, South Africa",1
"South Korea, China, United States",1
"India, Mexico",1
"United Arab Emirates, Romania",1
"Cambodia, United States",1
"India, Malaysia",1
"Germany, Jordan, Netherlands",1
"Turkey, France, Germany, Poland",1
"Greece, United States",1
"Norway, Germany",1
"France, Morocco",1
"Indonesia, United States",1
"United Kingdom, Canada, United States, Cayman Islands",1
"Mexico, Argentina",1
"Denmark, Brazil, France, Portugal, Sweden",1
"Singapore, Malaysia",1
"France, Belgium, Luxembourg, Romania, Canada, United States",1
"South Africa, Nigeria",1
"United Kingdom, Hong Kong",1
"Spain, United Kingdom, United States",1
"Brazil, United States",1
"India, Turkey",1
"United Kingdom, Hungary, Australia",1
"Spain, France, United Kingdom, United States",1
"Malaysia, Singapore, Hong Kong",1
"Philippines, Singapore",1
", France, Algeria",1
"Taiwan, China, France, United States",1
"Germany, Italy",1
"Italy, Belgium",1
"United States, South Korea, Japan",1
"Thailand, China, United States",1
"India, United Kingdom, Canada, United States",1
"South Korea, Canada, United States, China",1
"Argentina, Uruguay, Serbia",1
"France, Japan",1
"Mauritius, South Africa",1
"United States, Poland",1
"United Kingdom, United States, Germany, Denmark, Belgium, Japan",1
"Philippines, United States",1
"Argentina, United States, Mexico",1
"Romania, Bulgaria, Hungary",1
"Uruguay, Guatemala",1
"France, Senegal, Belgium",1
"Mexico, United States, Spain, Colombia",1
"Canada, Norway",1
"Finland, Germany, Belgium",1
"Colombia, Peru, United Kingdom",1
"Argentina, United States",1
"Spain, Portugal",1
"United Kingdom, Japan",1
"Spain, Belgium",1
"Iceland, Sweden, Belgium",1
Croatia,1
"Uruguay, Argentina, Spain",1
"United Kingdom, Ireland, United States",1
"Canada, Germany, France, United States",1
"Norway, Denmark, Netherlands, Sweden",1
"United Kingdom, Russia, United States",1
"Ireland, Canada",1
"Italy, Switzerland, France, Germany",1
"Mexico, Netherlands",1
"Germany, France, Russia",1
"France, Iran, United States",1
"Russia, Poland, Serbia",1
"India, Pakistan",1
"Paraguay, Argentina",1
"Uruguay, Spain, Mexico",1
"France, Israel, Germany, United States, United Kingdom",1
"France, Luxembourg, Canada",1
Finland,1
"Denmark, Spain",1
"Chile, Argentina",1
"United Kingdom, Belgium, Sweden",1
"Canada, Brazil",1
"Canada, Germany",1
"United Kingdom, Malawi",1
"Pakistan, United Arab Emirates",1
"Ghana, United States",1
"Mexico, Finland",1
"United Arab Emirates, United Kingdom, India",1
"United States, Taiwan",1
"Austria, Iraq, United States",1
"United States, United Kingdom, New Zealand",1
